Row,CNCF,GZSD,CARP,FWDM,SMBF,ERSN,BLGL,WTBS,BKCP,Growth
CNCF,-2.00857535055179e-11,0.390101558954695,0,7.05416586419216e-11,0,0.464777882737545,1.56079797234364e-11,-5.8696026250251e-11,8.46954077267791e-10,-0.571713126059059
GZSD,-0.224036253538665,-0.0522895213281074,-1.58839411633715e-10,-1.39218361677255e-09,-1.24595277903724,-6.79771659359579e-11,-0.544564104702905,-0.705882373527267,-1.53070479783938e-09,1.2840330671044
CARP,0,-0.909227877287737,-1.57378480743537e-11,-1.34794577018318e-11,-0.646968668115564,-1.16802382291619,-1.61028778860097,-8.83110810195867e-12,-2.31904622963881e-11,2.27656480825587
FWDM,-0.216163571603851,1.82752546044484e-10,1.03282453967504e-05,-0.0416822466273444,1.26409149079651e-10,9.21601289254655e-11,0.84146627787959,-1.7629899423398e-11,-5.44145183531386e-11,-3.82058686663221e-11
SMBF,0,-9.1079831083295e-11,-8.45192957227594e-12,-1.00749275454478e-11,-2.92475596774714e-11,-0.410942430114748,-2.2663349834039e-11,0,-3.3453601526691e-11,0.159275731382077
ERSN,-0.568177897376904,-1.06434722116902e-11,-1.33109332404573e-10,-4.20876175158667e-11,-2.9064382122784e-10,-1.39068932509733e-11,-0.0823056498198009,-1.22579943445193,-1.8727826343055e-11,1.16838629352518
BLGL,-0.0845761044079186,-5.38007188241126e-12,-3.37617420992771e-11,-0.955765039847796,-3.7289177783278e-11,-1.3488927553331e-11,-0.600521479565125,-7.41350673443938e-11,-4.34263459132954e-11,0.918846235275613
WTBS,-1.82576591206345e-12,4.44695304708265e-12,2.7221919717308e-12,3.79054632232488e-12,0,0.185366059709506,4.36381365479057e-10,-0.508872861317041,1.20843162103201e-11,-1.01548400455289e-10
BKCP,-0.0392676302110563,0.293804229482023,1.01953478420823e-11,-0.75568424155957,4.17655111375931e-10,2.35319773376479e-11,0.580442688459528,-1.78357824151912e-12,-0.167443665126899,-4.03326716263893e-12
